"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","STINTFORECAST","TOT","PC_PA","A","2023",3.47108424418721,
"DNK","STINTFORECAST","TOT","PC_PA","A","2024",3.81080020703934,
"DNK","STINTFORECAST","TOT","PC_PA","A","2025",3.56080020703934,
"FIN","STINTFORECAST","TOT","PC_PA","A","1970",10.6141666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1971",8.085,
"FIN","STINTFORECAST","TOT","PC_PA","A","1972",7.76916666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1973",9.39666666666668,
"FIN","STINTFORECAST","TOT","PC_PA","A","1974",10.4116666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1975",11.7166666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1976",12.37,
"FIN","STINTFORECAST","TOT","PC_PA","A","1977",11.7566666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1978",8.57583333333333,
"FIN","STINTFORECAST","TOT","PC_PA","A","1979",8.52083333333334,
"FIN","STINTFORECAST","TOT","PC_PA","A","1980",12.3166666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1981",11.5391666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1982",11.8075,
"FIN","STINTFORECAST","TOT","PC_PA","A","1983",14.59,
"FIN","STINTFORECAST","TOT","PC_PA","A","1984",16.5,
"FIN","STINTFORECAST","TOT","PC_PA","A","1985",13.4641666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1986",12.7358333333334,
"FIN","STINTFORECAST","TOT","PC_PA","A","1987",10.0325,
"FIN","STINTFORECAST","TOT","PC_PA","A","1988",9.96583333333332,
"FIN","STINTFORECAST","TOT","PC_PA","A","1989",12.5566666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1990",13.9966666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1991",13.0791666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1992",13.2516666666666,
"FIN","STINTFORECAST","TOT","PC_PA","A","1993",7.77333333333334,
"FIN","STINTFORECAST","TOT","PC_PA","A","1994",5.35,
"FIN","STINTFORECAST","TOT","PC_PA","A","1995",5.75,
"FIN","STINTFORECAST","TOT","PC_PA","A","1996",3.625,
"FIN","STINTFORECAST","TOT","PC_PA","A","1997",3.23166666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","1998",3.56833333333334,
"FIN","STINTFORECAST","TOT","PC_PA","A","1999",2.9635,
"FIN","STINTFORECAST","TOT","PC_PA","A","2000",4.39176666666667,
"FIN","STINTFORECAST","TOT","PC_PA","A","2001",4.26178333333333,
"FIN","STINTFORECAST","TOT","PC_PA","A","2002",3.31859166666667,
